COUNTS
1	121
2	222
3	10
4	71
5	414
6	262
7	12
8	499
9	34
10	67
11	63
12	265
13	249
14	39
15	592
16	213
17	442
18	228
19	18
20	18
21	18
22	144
23	343
24	298
25	17
26	137
27	17

ISSUES
task	file	kind	detail
6	task_6_147.txt	missing_internal_variant	
6	task_6_149.txt	missing_internal_variant	
6	task_6_151.txt	missing_internal_variant	
6	task_6_153.txt	missing_internal_variant	
6	task_6_155.txt	missing_internal_variant	
6	task_6_157.txt	missing_internal_variant	
6	task_6_160.txt	missing_internal_variant	
6	task_6_162.txt	missing_internal_variant	
6	task_6_164.txt	missing_internal_variant	
6	task_6_166.txt	missing_internal_variant	
6	task_6_168.txt	missing_internal_variant	
6	task_6_170.txt	missing_internal_variant	
6	task_6_172.txt	missing_internal_variant	
6	task_6_174.txt	missing_internal_variant	
6	task_6_176.txt	missing_internal_variant	
6	task_6_178.txt	missing_internal_variant	
6	task_6_180.txt	missing_internal_variant	
6	task_6_182.txt	missing_internal_variant	
6	task_6_184.txt	missing_internal_variant	
6	task_6_186.txt	missing_internal_variant	
6	task_6_188.txt	missing_internal_variant	
6	task_6_190.txt	missing_internal_variant	
6	task_6_192.txt	missing_internal_variant	
6	task_6_194.txt	missing_internal_variant	
6	task_6_206.txt	missing_internal_variant	
6	task_6_208.txt	missing_internal_variant	
6	task_6_210.txt	missing_internal_variant	
6	task_6_212.txt	missing_internal_variant	
6	task_6_214.txt	missing_internal_variant	
6	task_6_216.txt	missing_internal_variant	
6	task_6_218.txt	missing_internal_variant	
6	task_6_220.txt	missing_internal_variant	
6	task_6_222.txt	missing_internal_variant	
6	task_6_224.txt	missing_internal_variant	
6	task_6_226.txt	missing_internal_variant	
6	task_6_229.txt	missing_internal_variant	
6	task_6_231.txt	missing_internal_variant	
6	task_6_233.txt	missing_internal_variant	
6	task_6_235.txt	missing_internal_variant	
6	task_6_237.txt	missing_internal_variant	
6	task_6_239.txt	missing_internal_variant	
6	task_6_241.txt	missing_internal_variant	
6	task_6_243.txt	missing_internal_variant	
6	task_6_246.txt	missing_internal_variant	
6	task_6_248.txt	missing_internal_variant	
6	task_6_250.txt	missing_internal_variant	
6	task_6_252.txt	missing_internal_variant	
6	task_6_254.txt	missing_internal_variant	
6	task_6_256.txt	missing_internal_variant	
6	task_6_258.txt	missing_internal_variant	
6	task_6_260.txt	missing_internal_variant	
6	task_6_262.txt	missing_internal_variant	
6	task_6_264.txt	missing_internal_variant	
6	task_6_266.txt	missing_internal_variant	
6	task_6_269.txt	missing_internal_variant	
6	task_6_275.txt	missing_internal_variant	
6	task_6_277.txt	missing_internal_variant	
6	task_6_279.txt	missing_internal_variant	
6	task_6_281.txt	missing_internal_variant	
6	task_6_283.txt	missing_internal_variant	
6	task_6_285.txt	missing_internal_variant	
6	task_6_287.txt	missing_internal_variant	
6	task_6_289.txt	missing_internal_variant	
6	task_6_291.txt	missing_internal_variant	
6	task_6_293.txt	missing_internal_variant	
6	task_6_295.txt	missing_internal_variant	
6	task_6_297.txt	missing_internal_variant	
6	task_6_299.txt	missing_internal_variant	
6	task_6_301.txt	missing_internal_variant	
6	task_6_308.txt	missing_internal_variant	
6	task_6_310.txt	missing_internal_variant	
6	task_6_312.txt	missing_internal_variant	
6	task_6_314.txt	missing_internal_variant	
6	task_6_317.txt	missing_internal_variant	
6	task_6_319.txt	missing_internal_variant	
6	task_6_321.txt	missing_internal_variant	
6	task_6_323.txt	missing_internal_variant	
6	task_6_325.txt	missing_internal_variant	
6	task_6_327.txt	missing_internal_variant	
6	task_6_329.txt	missing_internal_variant	
6	task_6_331.txt	missing_internal_variant	
6	task_6_333.txt	missing_internal_variant	
6	task_6_335.txt	missing_internal_variant	
7	task_7_076.txt	missing_internal_variant	
7	task_7_092.txt	missing_internal_variant	
7	task_7_094.txt	missing_internal_variant	
7	task_7_096.txt	missing_internal_variant	
9	task_9_178.txt	missing_internal_variant	
9	task_9_180.txt	missing_internal_variant	
9	task_9_234.txt	missing_internal_variant	
9	task_9_236.txt	missing_internal_variant	
9	task_9_238.txt	missing_internal_variant	
9	task_9_240.txt	missing_internal_variant	
9	task_9_242.txt	missing_internal_variant	
9	task_9_252.txt	missing_internal_variant	
9	task_9_254.txt	missing_internal_variant	
10	task_10_216.txt	missing_internal_variant	
10	task_10_218.txt	missing_internal_variant	
10	task_10_220.txt	missing_internal_variant	
10	task_10_222.txt	missing_internal_variant	
10	task_10_246.txt	missing_internal_variant	
10	task_10_248.txt	missing_internal_variant	
10	task_10_250.txt	missing_internal_variant	
10	task_10_252.txt	missing_internal_variant	
10	task_10_254.txt	missing_internal_variant	
10	task_10_256.txt	missing_internal_variant	
10	task_10_264.txt	missing_internal_variant	
10	task_10_267.txt	missing_internal_variant	
10	task_10_270.txt	missing_internal_variant	
10	task_10_273.txt	missing_internal_variant	
10	task_10_275.txt	missing_internal_variant	
10	task_10_277.txt	missing_internal_variant	
10	task_10_279.txt	missing_internal_variant	
10	task_10_281.txt	missing_internal_variant	
10	task_10_283.txt	missing_internal_variant	
10	task_10_285.txt	missing_internal_variant	
10	task_10_287.txt	missing_internal_variant	
10	task_10_289.txt	missing_internal_variant	
10	task_10_291.txt	missing_internal_variant	
10	task_10_293.txt	missing_internal_variant	
10	task_10_295.txt	missing_internal_variant	
10	task_10_297.txt	missing_internal_variant	
10	task_10_299.txt	missing_internal_variant	
10	task_10_301.txt	missing_internal_variant	
10	task_10_303.txt	missing_internal_variant	
10	task_10_305.txt	missing_internal_variant	
11	task_11_029.txt	missing_internal_variant	
11	task_11_031.txt	missing_internal_variant	
11	task_11_093.txt	missing_internal_variant	
11	task_11_096.txt	missing_internal_variant	
11	task_11_098.txt	missing_internal_variant	
11	task_11_109.txt	missing_internal_variant	
11	task_11_112.txt	missing_internal_variant	
11	task_11_117.txt	missing_internal_variant	
11	task_11_126.txt	missing_internal_variant	
11	task_11_130.txt	missing_internal_variant	
11	task_11_135.txt	missing_internal_variant	
11	task_11_145.txt	missing_internal_variant	
11	task_11_147.txt	missing_internal_variant	
11	task_11_149.txt	missing_internal_variant	
11	task_11_151.txt	missing_internal_variant	
11	task_11_153.txt	missing_internal_variant	
11	task_11_155.txt	missing_internal_variant	
12	task_12_090.txt	missing_internal_variant	
12	task_12_092.txt	missing_internal_variant	
12	task_12_094.txt	missing_internal_variant	
